Honda,E,Brio,2017,20.000-25.000 km,Bensin,Merah,Automatic,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,Diler,140000000
BMW,Serie 3,320i Luxury,2018,5.000-10.000 km,Bensin,Hitam,Automatic,Rear Wheel Drive (RWD),Sedan,>2.000 - 3.000 cc,Diler,695000000
Honda,Odyssey,2.4L Prestige,2016,35.000-40.000 km,Bensin,Putih,Automatic Triptonic,4X2,MPV,>2.000 - 3.000 cc,Diler,Bursa Mobil Kelapa Gading,489000000
Toyota,Wish,1.8,2005,75.000-80.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Van,>1.500 - 2.000 cc,Diler,86000000
Honda,VTi-L,Accord,2006,155.000-160.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Sedan,>2.000 - 3.000 cc,Individu,95000000
Honda,E,Mobilio,2014,50.000-55.000 km,Bensin,Putih,Automatic,4X2,MPV,>1.500 - 2.000 cc,Individu,123950000
Mazda,Lain-lain,Lain-lain,1988,295.000-300.000 km,Bensin,Kuning,Manual,Rear Wheel Drive (RWD),Sedan,>1.500 - 2.000 cc,Individu,Bursa Mobil Blok M Plaza,19750000
Toyota,Corona,2.0,<1986,50.000-55.000 km,Bensin,Hijau,Manual,Rear Wheel Drive (RWD),Sedan,>1.500 - 2.000 cc,Individu,18000000
Toyota,Soluna,Gli,2002,115.000-120.000 km,Bensin,Silver,Automatic,4X2,SUV,>2.000 - 3.000 cc,Individu,39999999
Toyota,Lain-lain,Kijang,1989,>300.000 km,Bensin,Lainnya,Manual,SUV,>1.000 - 1.500 cc,Individu,33000000
Honda,E,Brio,2017,25.000-30.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,Diler,128000000
Daihatsu,Lain-lain,Gran max,2015,60.000-65.000 km,Bensin,Silver,Manual,Minibus,>1.000 - 1.500 cc,Individu,88600000
Honda,VTEC,City,2006,120.000-125.000 km,Bensin,Abu-abu,Manual,4X2,Sedan,>1.000 - 1.500 cc,74990000
Suzuki,Ignis,GX MT ,2019,20.000-25.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,Individu,26000000
Daihatsu,Adventure R,Terios,2018,35.000-40.000 km,Bensin,Coklat,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,Diler,220000000
Toyota,Corolla,2.0,2004,100.000-105.000 km,Bensin,Hitam,Manual,4X2,Hatchback,>1.000 - 1.500 cc,Individu,78990000
Toyota,TRD Sportivo,Yaris,2018,10.000-15.000 km,Bensin,Kuning,Automatic Triptonic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,Individu,220000000
Ford,Trend,Fiesta,2014,75.000-80.000 km,Bensin,Merah,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,Individu,119000000
Toyota,G,Avanza,2017,55.000-60.000 km,Bensin,Putih,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,Diler,162000000
Suzuki,GX,Karimun,2006,145.000-150.000 km,Bensin,Coklat,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,Individu,58999999
Daihatsu,Sigra,1.2 R,2017,30.000-35.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,Diler,Bursa Mobil Mangga Dua Square,105000000
Honda,E,City,2015,70.000-75.000 km,Bensin,Abu-abu,Automatic Triptonic,Individu,183100000
Nissan,Autech,Serena,2010,105.000-110.000 km,Bensin,Hitam,Automatic,4X2,MPV,>1.500 - 2.000 cc,Diler,Bursa Mobil Mangga Dua Square,110000000
Honda,E,BR-V,2016,40.000-45.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),SUV,>1.000 - 1.500 cc,Individu,183000000
Toyota,TRD Sportivo,Agya,2015,30.000-35.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,Individu,101000000
Toyota,G,Avanza,2014,90.000-95.000 km,Bensin,Silver,Automatic,Minibus,>1.000 - 1.500 cc,Individu,126000000
Toyota,Avanza,S,2011,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,Individu,120000000
KIA,EX,Sportage,2014,70.000-75.000 km,Bensin,Putih,Automatic,4X2,Bus,>1.500 - 2.000 cc,Diler,200000000
Suzuki,Mega Carry Box,APV,2014,35.000-40.000 km,Bensin,Putih,Manual,4X2,Pick-up,>1.000 - 1.500 cc,Individu,72000000
BMW,318i 1.8,Serie 3,2002,15.000-20.000 km,Bensin,Silver,Automatic Triptonic,Sedan,>1.000 - 1.500 cc,Individu,90000000
Suzuki,Lain-lain,Wagon R,2014,40.000-45.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Wagon,<1.000 cc,Individu,123456789
Toyota,E STD,Avanza,2014,115.000-120.000 km,Bensin,Putih,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,Individu,120000000
Nissan,Livina,X-Gear,2009,70.000-75.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,81000000
Toyota,Lain-lain,Corolla,1991,40.000-45.000 km,Bensin,Marun,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,Individu,31000000
Toyota,G,Alphard,2004,110.000-115.000 km,Bensin,Silver,Automatic,4X2,MPV,>2.000 - 3.000 cc,Individu,50000000
Datsun,Panca T Opt,Go+,2016,15.000-20.000 km,Bensin,Putih,Manual,4X4,MPV,>1.000 - 1.500 cc,Individu,84000000
Toyota,1.5,Kijang,1992,80.000-85.000 km,Bensin,Silver,Manual,4X2,Minibus,>1.000 - 1.500 cc,Individu,29500000
Daihatsu,Sigra,1.2 R,2016,65.000-70.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,Individu,75000000
KIA,Rio 5 Door,EX AT,2011,115.000-120.000 km,Bensin,Putih,Automatic,4X2,Sedan,>1.000 - 1.500 cc,Individu,78000000
Suzuki,Lain-lain,Grand vitara,2006,0-5.000 km,Bensin,Abu-abu,Automatic,Individu,87000000
Nissan,1.2L XS,March,2011,100.000-105.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,Individu,83500000
Honda,E Special Editon,HR-V,2019,5.000-10.000 km,Bensin,Putih,Automatic Triptonic,Front Wheel Drive (FWD),Compact & City Car,>1.500 - 2.000 cc,Diler,288000000
Daihatsu,Xenia,Li Sporty,2009,90.000-95.000 km,Bensin,Abu-abu,Manual,4X2,MPV,<1.000 cc,Diler,73000000
Honda,Brio,RS 1.2,2017,0-5.000 km,Bensin,Putih,Automatic Triptonic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,Individu,150000000
Toyota,Innova,V,2005,>300.000 km,Bensin,Silver,Automatic,4X2,Minibus,>1.500 - 2.000 cc,Individu,90000000
Suzuki,Futura,Lain-lain,2015,5.000-10.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,Individu,90000000
Daihatsu,M,Ayla,2014,45.000-50.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Compact & City Car,<1.000 cc,Individu,73000000
Nissan,HWS,Serena,2014,65.000-70.000 km,Bensin,Putih,Automatic,4X2,MPV,>1.500 - 2.000 cc,Individu,186000000
Toyota,G,Vios,2011,95.000-100.000 km,Bensin,Silver,Automatic,4X2,Sedan,>1.000 - 1.500 cc,Individu,40000000
Suzuki,APV,GL,2007,80.000-85.000 km,Bensin,Silver,Manual,4X4,Minibus,>1.000 - 1.500 cc,Individu,35000000
Ford,Titanium,Ecosport,2015,45.000-50.000 km,Bensin,Abu-abu,Automatic Triptonic,122000000
Toyota,TRD Sportivo,Yaris,2015,85.000-90.000 km,Bensin,Hitam,Automatic,4X2,Sedan,>1.000 - 1.500 cc,Individu,175000000
Hyundai,Lain-lain,Lain-lain,2008,35.000-40.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,Individu,60000000
Toyota,Lain-lain,Alphard,2015,30.000-35.000 km,Bensin,Putih,Automatic,4X2,Minibus,>2.000 - 3.000 cc,705000000
Daihatsu,X Deluxe,Xenia,2016,20.000-25.000 km,Bensin,Hitam,Automatic,4X2,Minibus,>1.000 - 1.500 cc,Individu,139000000
Mitsubishi,Pajero Sport,Dakar,2014,75.000-80.000 km,Bensin,Putih,Automatic,4X2,>3.000 cc,Individu,Bursa Mobil DTC,325000000
Toyota,2.0,Crown,1990,25.000-30.000 km,Bensin,Hitam,Automatic,Rear Wheel Drive (RWD),Sedan,>1.500 - 2.000 cc,Individu,36000000
Honda,Sports E,Brio,2012,70.000-75.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,Diler,117500000
Hyundai,Atoz,GLS,2001,140.000-145.000 km,Bensin,Silver,Automatic,Front Wheel Drive (FWD),Minibus,<1.000 cc,Individu,Carsentro Semarang,44000000
Honda,GK,Jazz,2016,25.000-30.000 km,Bensin,Kuning,Automatic Triptonic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,Diler,223000000
KIA,Hatchback,Rio,2012,10.000-15.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,115000000
