Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Harga
Mercedes-Benz,?,A-Class,2015,35.000-40.000 km,Bensin,Hitam,Automatic,?,?,>1.500 - 2.000 cc,415000000
Toyota,TRD,Fortuner,2013,55.000-60.000 km,Diesel,Putih,Automatic,4X2,Jeep,>2.000 - 3.000 cc,287500000
Toyota,G,Avanza,2011,60.000-65.000 km,Bensin,Hitam,Manual,4X4,Compact & City Car,>2.000 - 3.000 cc,120000000
Daihatsu,?,Sigra,2019,0-5.000 km,Bensin,Lainnya,Manual,?,?,?,110000000
Toyota,G,Calya,2018,5.000-10.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,127000000
Suzuki,RC1,SX4,2012,55.000-60.000 km,Bensin,Putih,Automatic,4X2,Hatchback,>1.000 - 1.500 cc,125000000
Toyota,G Luxury,Innova,2012,70.000-75.000 km,Bensin,Putih,Automatic,Rear Wheel Drive (RWD),Minibus,>1.500 - 2.000 cc,160000000
Toyota,G,Agya,2015,65.000-70.000 km,Bensin,Putih,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,89000000
Mazda,R,2,2014,15.000-20.000 km,Bensin,Putih,Manual,All Wheel Drive (AWD),Compact & City Car,>1.000 - 1.500 cc,165000000
Toyota,S,Rush,2012,80.000-85.000 km,Bensin,Putih,Manual,?,?,?,156000000
Honda,i-DSI,Jazz,2004,150.000-155.000 km,Bensin,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,69000000
Toyota,E,Avanza,2017,75.000-80.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,138000000
Suzuki,GX,Katana,1996,90.000-95.000 km,Bensin,Merah,Manual,4X2,Jeep,>1.000 - 1.500 cc,45000000
Mitsubishi,V6-24,Galant,2004,155.000-160.000 km,Bensin,Hitam,Manual,4X2,Sedan,>2.000 - 3.000 cc,93000000
Toyota,Luxury Veloz,Avanza,2014,35.000-40.000 km,Bensin,Putih,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,143000000
Suzuki,GX,Katana,2002,105.000-110.000 km,Bensin,Hijau,Manual,4X2,Jeep,>1.000 - 1.500 cc,58000000
Honda,RS CVT,Jazz,2015,50.000-55.000 km,Bensin,Abu-abu,Automatic Triptonic,Front Wheel Drive (FWD),SUV,>1.000 - 1.500 cc,188000000
Honda,2.0 i-VTEC,CR-V,2005,155.000-160.000 km,Bensin,Hitam,Manual,4X2,Jeep,>1.500 - 2.000 cc,105000000
